Data	Happiness	Sadness	Anger	Fear	Disgust	Surprise
Commentator truly said log #Dhoni ki alochna islye krte h kyuki woh tareef ni kar pate. Agar tareef ni kar sakte toh chup rahna chahiye #RPS			Hindi			
#SachinTendulkar baar baar din Yeh aye, baar baar dil Yeh gaye,aap jiye hazaro  saal pure duniya ki arzoo. A very happy birthday Sachin sir. pic.twitter.com/efDcOAG1Ff	Both					
Bhai #sachin ki film ka naam badal ke #Goosebumps kyu nhi rakh dete @sachin_rt #SachinABillionDreams	Mixed					
Sakshi agar aap ye tweet padhe to please Mahi ko boliye na apna 100% de. Aaj kal bahut log unhe criticize Kar rae hai .I feel so bad.		Both				
@kamaalrkhan sun be jaahil....Teri aukaat nahi hai #Sachin ya unse related kisi bhi cheez ko judge karne ki...Keep your filthy mouth shut.			Both			
@harbhajan_singh Apni tulna #Dhoni se mat karo paji. Wo avi v practice maidan main karta hai aur aap Tv shows.. Wo ek legend hai.			Hindi			
jyada hi aasman par chadd gaye they mutthi bhar Cricket khelne walo desh ko hara kar #Kohli sab. pic.twitter.com/XdX3oZIvFA			Hindi			
Kya English ki Maa Bhen Kardi tune Kaaliya ;-)))) #IndvAus #Kohli @BCCI	Mixed		Hindi			
Bhailog jisne Sunday ka #IndVsAus ka ticket liya unka to kat gaya #Kohli bhi gaya		Mixed				
Jo Bhi aajtak @PUMA ke sath Juda h uski Performance kharaab hi hui h... pehle Ganguly fir Yuvraj Ab Virat. #Kohli #IndvsAus #ViratKohli		Mixed				
Apni dali pe bath k dali katna suna tha aaj dekh bhi liya...poor decision by sanjeev goenka ...removing #dhoni we... http://fb.me/3v9imrrcW 		Both				
Dhoni Hamare captain the hai or rahenge	Hindi					
#dhoni ko captain se hataya #RPS #IPL10 me ek bhi match jeet nahi payega.		Mixed				
Thr was a time jo #Dhoni touch karte the wo gold ho jata tha ab to IPL dekhne ka bhi matlab nahi.		Mixed				
Lol.. Never compare them. Voh hoga Virat Kohli, par #Sachin aur #MSDhoni sabka baap hai  #ZakirKhan #HaqSeSingle	Both					
Batting mujhse ab nahi honi naam h mera #Dhoni		MIxed				
Dhoni retire hora hai aisi feeling aari hai #IndvsWI #DHONI		MIxed				
Harega bhai harega india harega wi ne bata diya t20 ka baap kon he..#kohli atitude thoda kam kar le bhai..	Hindi		Mixed			
hai jiska koi tod nhi uska naam hai #msd ...love u bro..	English					
Indian mom: Kya Pujara jaise ek hi jagah khada hai,  jaa jaake kuch kaam kar!  #IndvAus #pujara			Hindi			
#IndvAus Pujara s fav Hindi song: Dheere dheere pyar ko badhana hai...#pujara	HIndi					
#India ne Aaj #Australia ko aukaat dikha di unki. Kandhe dheele. #Pujara played 100 overs alone. A big salute to @cheteshwar1	English		HIndi			
Glucose pilao yaar koi mujhe aur Aussies ke players ko bhi.. #Pujara #Saha #IndvAus		Mixed				
Aap match dekhte dekhte thak jaonge lekin #Pujara batting karte karte nhi thakega..		Mixed				
CID khatm ho jaega lagta hai jald hi par pujara ki batting nahi.. :P #IndvAus #Pujara	Mixed					
Bhai tujhe majak m Rahul Dravid bola tha tu tto serious Ho Gaya.	Mixed					
bhai jyada time gym pe bitaoge to khel ne me muskhil to ayegi na!!jaldi thik ho ja bhai we need u, #kohli		Both				
#Kohli haters, kripya aaj ke newspapers na padhein, 2-4 litre khoon jal jayega aapka		MIxed				
srilankan coach: aur tum 11 phir bhi rone jisi surat kyu banayi huyi thi.		Hindi				
Haan, bilkul. #Baap ne #Eid ka imdad diya tha, nalayak gareeb bete ko. Nahi to #kohli do ball mein do bar out nahi hota.					Mixed	
Dhoni be like Sri Lanka ke liye to manish pandey bhi kaafi tha mujhe kyu bulaya #INDvSL #RohitSharma #PVSindhu #dhoni #sleep#cricket pic.twitter.com/18q917OEUS	MIxed					
Ye pehli bar hua hai k Sharma ji k bete ka credit koi aur legaya #MSD   He can make the impossible  happen.	Both					
"Dhoni is like ""Inki bakwas khatm ho Jaye to mujhe neend se utha Dena"""					Hindi	
Mahendra cool mind #dhoni...sir jo khu kam hai aapke lie mere paas words nai hai @msdhoni	Mixed					
Main sirf #dhoni ke liye hi cricket dekhta tha  ab nahi dekhoonga @msdhoni sir please aap apna decision wapas le lijiye #captain		Mixed				
Ms dhoni ke captaincy chhodne k bad..mujhe lgta h ki World cup me ab hum kutte k jaise nahi harenge. #mahi #Dhoni # captain	Mixed					
Aaj Ke Liye Itnaa Shock Kaafi Nahi Tha Kyaa, Jo Ab Swami Om trending..!						Both
#Dhoni Ko un logo ki vajah se captani chodhni padhi hai jo log Dhoni se jalte hai shame to all of them who feel jealous from him. Dhoni Best					Both	
Viru sir aaj mat Karo comparison..... Dharti fat jayegi itna pyar krte he log #dhoni se.	Hindi					
Kaash BCCI bhi SP party ki trh Hoti Jo aaj kha h 24 hours mai bdl KR phle jesa ho jaae ....miss u Dhoni..		Mixed				
#Dhoni ki captaincy chhodne ki khabar sunkar Gambhir ne party dene ke liye , bank se personal loan bhi apply kar diya hai.	Mixed					
Acha khasa sone ja rha tha shock de diya mahi bhai #Dhoni						Mixed
Modiji jawab de #Dhoni ne retirement kyu li hai? Varna me pure bharat me ghum ghum k pata lagauga		Mixed				
Jab Keeper ka role nibhaya to kya khoob nibhaya aur jab skipper ka to kehne hi nahi.. True spirit #Dhoni .. Growing thru life is imp..	Mixed					
Dhoni jin logo ko bahar kiya, aaj o log commentary aur social media k jariye #Dhoni ko bahar kiya. #morons			Mixed			
#Dhoni Aise Kaun captaincy se quit karta hai Bhai		Mixed				
Maahi jab match haare tab dukh toh hota hai par zyada tab hota hai jab wo captaincy chhod de/retire ho jaye #Dhoni		Mixed				
Naya Saal Raas Nahi Aaya Kyunki Unhoni Ko HNY karne waale Sir Dhoni ne captaincy Jo thukra di :'(		Mixed				
Itni tension raina ko 8 nov k baad nhi hui hogi jitni aaj ho rhi hogi. #dhoni #ThankYouDhoni #legend		Mixed				
@msdhoni hum jeete 1 baar hain ,marte 1 baar hain aur hum pyaar bi 1 hi baar  krte hain ...Luv u my idol #FanForever #MSDIAN #Dhoni #God	Both					
#Dhoni is a selfless captain. Fir Gambhir, Sehwag, Yuvraj, N Srinivasan, Meiyappan... ka naam dimag me aata hai.	English					
garib logo k liye captain nahi bane rahe gay @msdhoni we love you	Both					
Muje To Aaj Pata Chala Girls Ko Bhii Cricket Ka Kuch Pata Hota Haii... Miss U #Dhoni		English				Mixed
Sir apne jo kiya hai indian cricket ke liya ussa koi ni bhula sakta #DHONI	Mixed					
What a person , salute hai tumhe #Dhoni .......tum logo Ki najar me aur bade Ho gaye..... Keep it up......	Both					
#Dhoni kya Bhai yeh new year gift toh ni chahiye tha ....Still aap ne jo Kiya ache k liye hi Kiya hoga.Thanks for everything Bhai @msdhoni	Both					
#Dhoni Surprise Dena Koi @msdhoni  se sikhe.						Mixed
So Soon End  Karke Dard diya Yaar.   yew		Mixed				
#Dhoni Ki Ulti Ginti Shuru…Yehi Waqt Ki Chaal…Aage Aage Dekhiye Hota Hai Kya??? — feeling awesome	English					
#Dhoni sir ..apne India ko bhut kuch dilya h..or virat kholi ajke player h	Mixed					
"We Miss U #Dhoni @msdhoni As a Captain ""Khaali Haath Aaye The hum Khaali haath jaayenge"" Legend"		Both				
Dil Ke Sandooko Main mere Ache Kaam Rakhna #Dhoni to Every One In #India #Captain	Hindi					
End of an era !!! Apna Captain Mahi jaa rha hai :(		Both				
Cngrts to VK,Logo ko yaad rkhna chahiye sachin se bada koi criktr nhi hua pr vo bhi #WorldCup kabhi nhi jita paya,baki aap smjdaar h #Dhoni	English	Mixed				
Miss u msd,aadat ho gayi hai aapko captain dekhte hue.. #Dhoni		English				
Mujhe to abhi bhi vishwash nahi ho raha hai ki #Dhoni ne #Captaincy chhor diya hai..please somebody tell ki ye false news hai...						Mixed
Agar aap #Dhoni ke sambhaavit retirement se dukhi hain toh bas ek bar Sachin, Dravid aur VVS Laxman ka retirement yaad kar leejiye.		Mixed				
#Dhoni sir aap kuch waqt or le sakte the,koi apne fans ko is tarah chhod ke jata h kya,		Mixed				
Ab ham ko dhoni the magicition captancy dekhne ko nahi milegi #Dhoni @msdhoni		Mxed				
bad year , Dhoni b gaya aur crush ki b shaddi hogyi #Dhoni		Mixed				
#Dhoni hatke hai isliye  hameshaa aise jhatke deta hai..... forever captain of #TeamIndia feeling sad...sir		English				
Yuvraj Singh ka baap bht khush hoga aaj...Ghatiya insaan #India loves you #Dhoni	English				Mixed	
Achha hua #Dhoni ne aaj retirement li agar 31st ko karta to India me Daaru ki kumi pad jaati.		Hindi				
Thakur: Agla captain banna hai to gaali dena band kar de			Hindi			
Please yaar vapas lele ....aur ek world sirf tu he dilaa sakta hai please request  #Dhoni		Mixed				
Mahi rula raha hai !!!!!thanks for great memories mahi bhai @msdhoni #Dhoni	English	Hindi				
joo log aaj apne nayee capital ke liyee khush h... vo log #Dhoni ke captaincy yaad kregee	Hindi					
Ab #Dhoni ko captaincy karte hue sirf IPL mein dekh paunga		Mixed				
Sahi time par captaincy chor di, ab aaram se enjoy kar paega batting. #Dhoni	Mixed					
#Dhoni @msdhoni  good step for team indias future.. Pahle guru gaye sriniwasan or aab chela ja rahe hai..	English					
Ab gadho ki tarah sab discuss karenge, ki why you do this, #Dhoni?					Mixed	
#Dhoni Ab Pakistan ke matches mein maza nahi aayega  wapas aa Jao		Mixed				
Abey yaar captaincy hi chhodi hai, retire nahi hua. Jyada senty na ho.		Mixed				
Are o papuva tu #RahulGandhi hai wohi rahi, modi ko advise mat diyo, use pata hai kab kaha kitna kaise bolna hai,congress ki tarah nhi hai.			Mixed			
Inki budhi se to budhimani bhi sharma jati hai! Nani ji ke yaha kuch sikhna chahiye tha kam se kam!Pura world inhe murkh lagta! #RahulGandhi https://twitter.com/dna/status/882699358071926784 …					Hindi	
are madarchod rahul tere sare khandan ne is country ko bus luta hai or kuch nahi			Hindi			
#RahulGandhi. Pappu bhai ghar mein baitho aur PORN movies dekho, angrezi nahi ......bhai tera bhadiya time pass hoga.	Mixed					
#congress walo ko kab samjh ayega ki #RahulGandhi unke liye kam or #bjp k liye jada lucky hai	Mixed					
27 elections Me Haar ke Baad bhi #RahulGandhi  se #Rajbabbar ji ko badee ummeden hain....yeh to wahi hua ...Murga anda dega to kahan girega.		Hindi				Mixed
Mummy agar hume #YogiAdityanath ko rokna hai toh #Rock & #JasonStatham ko party me shaamil Karna padega: #RahulGandhi		Mixed				
Bahot khoob karan :) #RahulGandhi jisko poori dunia ch**tiya bolti hai , wo kisi aur ko stupid bol raha hai.	Hindi		Mixed			
#RahulGandhi AAP bhure nahi ho Magar aapko mehaj ek cartoon Bana ke rakhdi diya hai aapke hi chamcho ne	Mixed					
Phir koi blunder na karna @OfficeOfRG #rahulgandhi muh Samhal ke  https://twitter.com/OfficeOfRG/status/870241883309481984 …		Mixed				
#RahulGandhi Sir, dalit parivaar ko aarthik madad chahiye, dalit parivaar mrityu ki kagaar par khada hai, Sir please     help me.		Both				
#RahulGandhi achchha hua rajeev ji is duniya me nahi hai otherwise aisa gadha bachcha dekhkar suicide kar lete.		Mixed				
@OfficeOfRG ki aukad watchman ki bhi nahi hai,  aur 4th row milne par ro raha hai		Hindi				
Aur #RahulGandhi ji ne apni hi Party @INCIndia aur apne pariwar k itne saalon k is mehnat par ek aur #SelfGoal kar diya...	Mixed					
Beta tum aao 2019 me vote mangane. Aisi lal kar denge tumhari na dikha paoge na kuch laga paoge. Shame on #RahulGandhi #ShameOnRahulGandhi #Congress #WEF18 #Davos					Both	
Ye bilkul galat hai,Army Chief ke baare mein rajnetik logon ko comment karne ki zaroorat nahi hai: #RahulGandhi on #SandeepDikshit's remarkpic.twitter.com/RYKzFQ16FS			Mixed			
Aaj kal new jokes nhi sunne ko mil raha hain... Pappu ne bolna band kr diya kya...!!!  #RahulGandhi		Mixed				Hindi
#RahulGandhi ko ei log target kiya hai hatya karne ka #BJP-#RSS, Rahul Gandhi ko mitaana chaahta hai: RJD Chief @laluprasadrjd			Mixed			
#RahulGandhi Dalit se mile par Raajpooton se nahin. ..koi baat nahin...Rajasthan election mein karara jawaab milega.			Mixed			
#RahulGandhi kabhi border pr nahi gaye aap? Jaha vote milenge vahi jayenge... #Vultureofpolitics @OfficeOfRG					Mixed	
Rahul Baba hamare jo jawan border par #Shaheed hote hai kbhi unke ghar bhi jaya kro.. #RahulGandhi		Hindi				
Rahul Gandhi kutta h, it's my freedom of speech..			Hindi			
Congress ke degradation ka sabse bada reason #RahulGandhi  aur uske baad ye #Buddha . Jaldi samajh jao			Mixed			
#RahulGandhi , boss aapne pure pariwaar ko dubo diya. Thoda to sensibility hona chahiye. Yuva neta kehte hai aap Khud ko?  Log sathiyane +		Mixed				
#RahulGandhi is #JonSnow of indian politics. Wo bas chutiya banaane ki koshish karta hai. Eventually khud hi chutiya ban jaata hai.	English		Mixed			
#RahulGandhi ji #namonitish ne corruption ke against jake dhoka diya ya aapne corruption ke sath rahkar janta ko.#BiharWithTejashwi			Mixed			
3-4 mahine se humein pata tha ye planning chal rahi hai. Apne swaarth ke liye vyakti kuch bhi kar jata hai: #RahulGandhi on #NitishKumarpic.twitter.com/ISYZmzEneg					Hindi	
Nitish ji ki is Gandi politics ko Bihar ki Janta Sabak sikhayegi #LaluPrasadYadav #NitishKumar #RahulGandhi			Mixed			
#Nitish ji aur #RahulGandhi  ji ki kal ki meeting Safal rahi...!!	Mixed					
Jab tak #RahulGandhi hai darne ki koi jaururat nahi hai : opposition  https://twitter.com/EconomicTimes/status/889726914163646465 …				Hindi		
Aap to Desh ko loota. Isliye jo bhi aap se luksan hua hai, GDP growth kaisa hoga? #Congress #Chidambaram #RahulGandhi			Hindi			
Oh bhai mere ye bhi bata de ki #RahulGandhi  jihadi jignes mevani aur unar khalid ka support kyun kar rahe hain? Does #RahulGandhi wants a divided India . Why #RahulGandhi support #TripleTalaq ?			English			
Aap bhi jante hee or pura desh bhi janta he #congress desh ko jativad ki rajniti karti he. #rahulgandhi is desh me divide and rule game khel rahihe			Mixed			
N mr rahul ab public bewkuf naii h jo hr time aap bakwas kro n hm sune					Mixed	
200 saal pehle inko British ne chutiya banaya. Ab inko Congress chutiya bana rahi hai. Pakistan bhi maze le raha hai Umar Khalid ko bhej ke.			Hindi			
Aur kisine kaha tha ki @narendramodi ji videsh me selfie lene jate hai!						Mixed
#RahulGandhi China aaj se nahin pichhle 60 salon se progress kr rha hai..		Mixed				
@republic @ZeeNews #RahulGandhi .. gujarat campaign k baad massage to banta hai....	Mixed					
mere ek mitr rahul gandhi pe legal case karna cahtey hai, kehte hai unki unke naam (PAPPU) kolek mazak banta hai #RahulGandhi ki wajah se pic.twitter.com/J5N9lTAUwh	Hindi					
are yr siddhart ji news valo ko bhi jhuta thahraoge kya. I wake up night yad h ki nhi #RahulGandhi					Mixed	
To dialogue ke liye kya darna					Mixed	
Kuch ni behenchod..modi ka fan hai.. make in us #makeinindia			Hindi			
Yehi To Hai Ache Din Stunts Ke Rates 80% Less Kiye Modi Sarkaar Ne  #MakeInIndia @TajinderBagga @p_sahibsingh	Mixed					
Technology kahan se kaha pahunch gaya par saala chinese maal aaj v bina guarantee ka hi aata hai #MakeInIndia @ElGuruGyani			Mixed			
Modi be like: Deewar banegi toh sirf Ambuja Cement ki!	Mixed					
Congrats @isro .bharat mata ki jai #MakeInIndia	Both					
Balkiii ISRO ko record tod unchaiyon pe le gaye.	Mixed					
Hello @nitin_gadkari Sir, ye road last 1year se ready nahi hua hai, lekin iski vajah se ab tak bahut log hospital ja chuke hai, #MakeInIndia @narendramodi		Mixed				
@spjdivn me sabhi jagah kaam me andheki ki gyi agar rail adhikari site visit nii karte to unhe Nikal dena Chahiye aise thekedar ko 10 Saal ki jail honi Chahiye @PMOIndia			Mixed			
Bharat desh missile pe missile launch kar raha h aur ek italian rocket ki batti hi nhi jal rahi #BrahMos #MakeInIndia	Mixed					
great job ..pehle he 150 log line mein khade ho kar mar gaye ...@merabharatmaha6	English	Hindi				
Sir see the positive side its  #MakeInIndia ,bharat ka paisa bharat me hi rah gya ,bolo #BharatMataKiJai	Mixed					
Ye bhi koi attack hai.. openly ho rha hai.. same goes to baba and ambani and adani.. dil khol kar india ko lott rhe hai.			Mixed			
Modiji Ko Aur 4 Term mile toh Woh Hawaii Chappal Mein Engine Lagwa sakte hain.#MakeInIndia	Mixed					
Soldiers border pe jaan gawa rahe hai,		Mixed				
Security forces khud Desh ke andar safe nahi.		Mixed				
Modi ji ne ye sabit kar diya hai ki duniya ki best political party BJP hai. Har neta #trump, follow kr raha hai. Is bolte hain #MakeInIndia	Mixed					
Because job toh bann nahi rahi, log chutiya hi ban rahe hain.			Hindi			
Hahhaa #MakeInIndia project tha wo..sanskari bomb hoga. Waise iss ghatna ka #amitshah ke #Kerala dauure se koi samband nahi hoga. Hain na ???.	Mixed					
Peace aur brothehood purpose ke liye hoga wo to.	Mixed					
yahi to #makeinindia hai india badal raha hai yaha logo ko apne baccho ke bare sochne ka time nahi baba ko bachane pahuch gaye.		Mixed				Hindi
Modi raaj me bani bharat ki missiles..#MakeinIndia			Mixed			
"I think this is called ""pichri hui soch"" i mean hum aaj bhi whi atke hue jha phle the or #ModiSir #MakeInIndia k sapne dekh rhe h."					Mixed	
India mey banaye. Aap kay pass govt ka support aur capital  bi hai	Mixed					
@yadavakhilesh Jo Desh Ki Khud Ki Asset hai use to modi ji bech daal rahe hain doosri taraf baat karte hain bewkoof banane ki #makeinindia					Mixed	
#saynotocorruption #timetochange say no to dummies jinke pass khud ka dimaag nahi dusro k kahne par chalte hai #MakeInIndia			Mixed			
well said! kab band hogi ye jumle baazi #MakeInIndia kab tak sirf vote ke liye aam janta ki umeedo k sath khela jayega			Mixed			
Love it ki #Smart City ka Raag sari Duniya per chah raha hai.	Mixed					
Bhai  ye try kijiye sayad aap thoda enjoy kar le....	Mixed					
@ChouhanShivraj ji se bas baatein karwlo ... ek light toh theek se de nahi pa rahe h baatein krtey h kissano ko rahat deni ki #MakeInIndia			Mixed			
Sahii hai Benchooo.. @narendramodi ke haatho award milna chahiye!	Mixed					
Waise bhi I support #MakeInIndia	Mixed					
Bullet Train ka #MakeInIndia ho rha hai	Mixed					
Modiji #MakeInIndia wale hain. Unke paas to media ki puri fauj hai - Arnab aur Sudhir jaise maharathi hain.	Mixed					
@narendramodi lekin agar unake maal ko agar bhav nahi doge to fayda kya. Hope u will look in this matter. Aapse prarthana hai. #MakeInIndia		Both				
Wo Made in Italy hai, isliye ajtak aage nahi bad paye		Mixed				
Ye #MakeInIndia to badiya hai but India me pollution ka kya hoga?		Mixed				
hume bolte ho made in china mat khreedo. ab metro k liye made in China. kyu bhai Indian railways ko apne pe bhrosa nhi kya.			Mixed			
#whatsappdown kya american brand ke pichey bhagte ho Make In India use karo @hikeapp #MakeinIndia		Mixed				
Khattar Saab se ho na pa raha,Na law order smbhaal pa rae na baaki chize,Gurgaon me Bihar se b bura haal h electricity ka.		Mixed				
Tatti tatti ha tatti hi hai site gst portal like blue whale @PratikDarjee  Itne saare log mil ke India ki public ko ullu bana rahi hai !					Mixed	
#Modi ji ne humare bachpan ke adult jokes ko bhi sach kar dikhaya. Aur kitne acche din chahiye? #INSKalvari #MakeInIndia	Hindi					
Waitin 4 #Modi ji 2 say #Mitron.#Virat ki shadi bhi tabhi hui jab kendra me #BJP ki sarkar hai.Kya ye acche din nahi hai mitron?	Mixed					
Biggst Achievemnt,bs ye triple talaq aur love jihad aa gaye bich m varna ab tak apna ek alag Moon bna lia hota modi ji ne	English					
Apne is photo ke jariye  Vivo ka advertisement kr rha hai @HardikPatel_  kal bda gyan baant rha tha #MakeInIndia  pr	Mixed		Hindi			
#Pune, hum bahut jaldi aa rahe hain humara #FFYT Certification Program lekar	Mixed					
Ab toh paise de rahe hai phir bhi mumbai local mai internet nahi chlta kuch kro @reliancejio		Mixed				
Aaj ki date me mobile bhi #MakeInIndia pe based hai idiot					Mixed	
@#MakeInIndia #iss video se yeh jahir hota hai ke Hindustan ko koi tod nahi sakta yahan sab milkar ek hokar rehte hai #Bharat	Mixed					
Sif free ka chaska lagake kuch nhi hota,hmare desh Ko acche infra jobs ki jarurat h #MakeInIndia	Mixed					
Is desh mai Nationalism ke naam pe gaumutra bhi bikta hai. Mobile phone kya baat hai.		Mixed				
Ye hai hamara bharat  aur hum make in india k baat karte hai pahle ise to sudharo @narendramodi @ ji @SirJadeja		Hindi				
Please help Mr.Modi (P.M) aap ko ese ke meter me application bheja gaya tha (speed post EJ330955044IN) uspe koe karwae ni hua pic.twitter.com/eejrCE5Ofv		English				
Inki bail kab khatam hogi #MakeInIndia		Mixed				
hamesa achhi bato pr politics start kr dete  ho.		Mixed				
Time to start a new innings ... Dukan khol rahe hai bhaiya ji.. ab karenge #MakeInIndia #ElectionResults	Both					
Ab to aisi adat si hogai h k har 15 din me  petrol,diesel,Gas k daam n bade to ghabrahat si hoti h kahi vikas ruk to nhi gaya		Mixed				
@narendramodi @AmitShah congratulations....aakhir Janata ki ungaliyone unke aur aapake #MannKiBaat sun li. Badhai ho	Both					
Mam..yeh jo apne room mw baith k aap Rita ji aur anya netaon k #Mannkibaat jaan leti hai..yeh bhi ek talent hai..	Mixed					
"@yadavakhilesh slams #MannKiBaat.. says ""Enough Mann ki Baat, Do Kaam ki Baat"".@narendramodi"			Mixed			
Bhai chod de tera frustration samajta hu, ab jyada bolunga tho ro padoge. ModiGG ka Mitron wali #MannKiBaat kaan me lagake soja		Mixed				
This generation is gonna cross limits kyuki hame wahi sunne me maze aate hai jo ham khud k liye sunna nhi chaahte.	Mixed					
@narendramodi ji ab bhot hogya, ham aapki har baat maan rhe h aap bhi hamari ek baat manlo, ab bullet ki jagah bullet hi khilao. #MannKiBaat			Mixed			
Pakistan and India mai koi farak nahi waha ki Govt  bhi apne citizen ki takleef nahi dekhti aur India ki govt bhi...		Mixed				
Ye to tum ashleel tweet, foto aur video bhejte ho na, wahi digital #molestation hai.					Mixed	
Arey kyu shor machaa rhe ho .. Ab Deputy CM bhi to #MannKiBaat kar sakte hai			Hindi			
#MannKiBaat  pe.Aur purane kaam pe hi aaj feku ribon kaatne ka kaam kar raha hai.			Mixed			
Modi Ji #MannKiBaat keh toh dete ho ... Kabhi aapke voters aur desh ke 125 cr logo ke mann ki baat sun aur samajh bhi lia karo.		Mixed				
Modiji does #MannKiBaat now he will start #DilSe . Sir sirf baate hi karoge ya kuchh kaam bhi karoge? #BJPJumloKiSarkar			Hindi			
#MannKiBaat me pm bakwas karte rehte hain aur pura din barbaad kar dete hain, #aap ki press conference beech me hi kaat dete ho kyun?					Mixed	
Modi ke #MannKiBaat me kabhi audio cut nahin hota, par #aap press conference me audio cut ho gaya @abpnewstv		Mixed				
#ElectionCommission is that friend of mine who says Khaana nahi laaya Jab ki uske Bag me biryani paddi Hoti hain.		Mixed				
Like #MannKiBaat ki bat jaise sunna sabko jaruri hai waise hi Retweet bhi jaruri kar diya hoga modi jii ne	Mixed					
Surgical strike se bhi Ravan ko nhi maar pa rahe the to #Jumla  maar dete ya #MannKiBaat suna dete.		Mixed				
Haha...sahi hai...Twitter pe naukri nahi karta kisi ki.	Mixed					
Jo parents Patanjali Products se Naha kar #MannKiBaat sunte hai, wo kis muh se apne baccho ko bolte rahenge k beta padhai kar		Mixed				
Modi ji... #MannKiBaat chhoriye aur Gun ki baat kijiye pakistano se			Mixed			
Aur Jo Log Galat Ko Na Support Kr K Age Badhte H Success Ussi Ko Milti H.	Mixed					
Sunna hai #MannKiBaat  radio pe aati  hai firr bhi dummy camera  rakhne padte hai modiji ke liye tabhi woh tabiyat se fekk sakte hai						Mixed
#MannKiBaat  hi logo ko ujjvla scene ka labh nhi mil RHA company logo se bahane krhi h ki abhi central government se list  nhi aai h		Mixed				
#MannKiBaat.sir jayda se jayda log garib aur middile family ke log mn ki bat sunte hai.usme kbhi karib ki bat suno uski pidda ko mahsus kare		Hindi				
#MannKiBaat  ka Naam Badal kar Desh ki baat honi chahiye kabhi safai ki baat kabhi Kisan ki baat different different name ..:)	Mixed					
#MannKiBaat students ko room rent jaisi problem face karni padti hai.padhai SE jyada hme room kiraya Dena padta hai		Mixed				
#MannKiBaat sir please books per koi rule lagaya savi school private book chalate hai jo ki bahut costly hai, NCERT books koi nahi chalate		Mixed				
Life Main Hum Kitni Bhi Baar Fail Ho Jaye, Ek Successful Din Jarur Ayega...	Mixed	Mixed				
Esa Player Pheli Bar Dekha Hai Jisne.. Balling Bhi ki Fielding Bhi ki...						Mixed
Aur ham kuch bol de to log anti-national bol ke maar jaate hai		Mixed				
Itni education kis kaam ki jab sab kuch is viswaas pe hi chal raha hai? #MannKiBaat jo sune usse PHD de do		Mixed				
Dear @narendramodi apni hee bolte rahogey ya mitorn ki kabhi sunoge bhi? Here is a fathers mann ki baat for you #MannKiBaat			Hindi			
Because Modiji know that #MannKiBaat aur kaam ki baat mein bahut farak hai.	Mixed					
BJP ko yahi dar hai ke Rohingiya Libtard ke vote bank na ban jaye isi liye BJP Rohingiya ko bhagana chahti hai				Mixed		
vo #MannKiBaat wala Desh ko corruption free karne wala tha,Bharast Desho ki list main No.1 laya hai,KanyokiPM #MannKiBaat wala hai @INCIndia			Mixed			
sir sirf note Bandi par nhi @narendramodi ki har niti n #MannKiBaat Jhumla hai sabhi fail huya		Mixed				
#MannKiBaat me 1 #X-men akr khta h dharm k nam pr #Hinsa bardasht nhi or fir #Kashmir me #gauraksha ke nam pr musalman ko target kiya jata hpic.twitter.com/is7cAL1lKg		Mixed				
Log #mannkibaat sunte hi hai hasne k liye. Humare pm vikas kare na kare ... hasate Bohot acha hai. @KapilSharmaK9 vacancy hai Kya ?	Hindi					
Mitro Local train patri se utar rahi hai lagta hai bullet train hawa me udegi #MannKiBaat	Mixed					
Mitron :- Barish mumbai main hui par dukh pure hindustan ko hua, picture bani mumbai main par release pure Hindustan main..		Mixed				
#justiceforarmaansehgal. school walon ki manmaani kab khatam hogi is par bhi @narendramodi kabhi kar lo #mannkibaat			Hindi			
@rjraunac #MannKiBaat se machine EVM ho gayi #FunKiBaat se ab EVR ho gayi, batan koi bhi dawao Bawwa hi jitega.	Hindi					
#MannKiBaat sir desh me jo ye gareeb bache bhikh magte h in ka kuch kr do in k liye kuch bol dijiye plz		Mixed				
@SitaramYechury sir Jab sabke pass naukari nahi hogi to tension nahi hoga. sab @narendramodi ji ki chai pike	Mixed					
@IndianExpress Bas kare sir public ko #MannKiBaat  ab mat sunai ye.. #janta Paak chuki hai					Hindi	
#MannKiBaat ka mazak banane walon ko itnee akal honi chaiye ki wo darsal Janta ke Mann ki baat hai. PM takes ideas and thoughts from Janta.	English		Hindi			
Sir tired of writing. Kabhi number nahi aata yahan bhi.		Mixed				
Sir Election bhashan me jo jo vaade karte kabhi amal me nahi aata, kyon mitroun ko gumrah karte votes ke liye		Mixed				
Modi be like... Bas ham bolta hai #MannKiBaat baaqi India sunta hai.. Pagal log					Hindi	
Tumare ghar ki Bell ko Goli maar dunga me kabhi #MannKiBaat			Mixed			
Mann badha tu #MannKiBaat bhi badhe hoti hai na, 140 main kya hoga, need 280 or even more. VIP privilege ka sawaal hai :P	Mixed					
Vo Baat karte hai Corruption mitane ki,jo bhar lete hai Tijori apni&padosi ki			Mixed			
#MannKiBaat mai ye sab nahi aata... otherwise pehla target kuch #khangressi hi hote !!! #AllAreSame #NoChokidaar						Mixed
Yeh dialouge modi ji par suite karta hai jo apni biwi kaa na ho saka voa is desh ka aur is desh ki janta ka kaise hoga		Mixed				
Musalman mard hota hai  heights of musalman kaa khauf.aage aagey dekho desh ke saath musalman bhi aagey badh raha hai				Hindi		
#MannKiBaat modi ji u.p k private English medium schools me manmani kaam lete h karamchariyon se or ek bhi chutti nhi dete h plz kuch kriye		Mixed				
